Year,Indicator_No,Indicator,Geographic_Cue,Reasoning_Evidence,Model,agreement_rate,kappa_w
2017,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.585492227979275,0.586363205310574
2017,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.601036269430052,0.607535031611639
2017,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.569948186528497,0.381445659016769
2017,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.528497409326425,0.493829065103363
2017,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.575129533678757,0.491487636805837
2017,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.647668393782383,0.671174160225255
2017,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.673575129533679,0.625851596108044
2017,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.461139896373057,0.226442639486118
2017,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.601036269430052,0.386418805694329
2017,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.658031088082902,0.681364129075294
2017,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.652849740932642,0.644639267555195
2017,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.797927461139896,0.751031198738673
2017,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.886010362694301,0.855473074168132
2017,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.756476683937824,0.682615983049239
2017,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.606217616580311,0.476842998021053
2018,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.416030534351145,0.179583529043369
2018,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.438931297709924,0.164160058335612
2018,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.484732824427481,0.240609535778808
2018,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.427480916030534,0.195438424497563
2018,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.442748091603053,0.193379716273555
2018,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.358778625954198,0.0950339613897379
2018,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.488549618320611,0.243480286917303
2018,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.400763358778626,0.181263609315005
2018,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.438931297709924,0.220769564409195
2018,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.465648854961832,0.239280884575611
2018,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.362595419847328,0.149219679473721
2018,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.33969465648855,0.183050513670529
2018,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.477099236641221,0.369630065103316
2018,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.458015267175573,0.273046717486895
2018,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.450381679389313,0.230526943049289
2018,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.404580152671756,0.202472096670049
2018,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.389312977099237,0.158330561439751
2018,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.49618320610687,0.13923431984795
2018,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.431297709923664,0.232137443153108
2018,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.419847328244275,0.202600489842962
2018,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.461832061068702,0.242259271861177
2018,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.419847328244275,0.198501760878649
2018,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.576335877862595,0.156533948450506
2018,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.49236641221374,0.213634446283137
2018,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.484732824427481,0.223266296809986
2018,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.458015267175573,0.26336362077833
2018,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.603053435114504,0.320065347242312
2018,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.740458015267176,0.492868284065924
2018,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.587786259541985,0.302040059920004
2018,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.522900763358779,0.280574683329083
2018,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.66030534351145,0.666212825549958
2018,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.748091603053435,0.703231191129128
2018,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.687022900763359,0.678387974014202
2018,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.763358778625954,0.720119972061301
2018,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.767175572519084,0.693747989276139
2018,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.732824427480916,0.619277429676043
2018,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.706106870229008,0.75561055800809
2018,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.66412213740458,0.687752606379671
2018,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.713740458015267,0.736279154889481
2018,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.713740458015267,0.667856136726453
2018,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.717557251908397,0.573994563146262
2018,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.580152671755725,0.529740537101831
2018,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.587786259541985,0.610792510191391
2018,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.606870229007634,0.635910326364621
2018,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.687022900763359,0.669486863321635
2018,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.538167938931298,0.535275928139169
2018,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.603053435114504,0.599585615525058
2018,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.557251908396947,0.35480363310733
2018,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.599236641221374,0.598475979651348
2018,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.606870229007634,0.521039309434697
2018,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.66793893129771,0.632380453490982
2018,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.66412213740458,0.632780938247176
2018,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.5,0.228195471096595
2018,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.553435114503817,0.372107406071226
2018,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.641221374045801,0.618537987369058
2018,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.576335877862595,0.494050637849647
2018,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.732824427480916,0.66519784965189
2018,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.83587786259542,0.740150315735837
2018,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.698473282442748,0.564094770353069
2018,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.553435114503817,0.42464750684072
2019,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.428571428571429,0.219324318667057
2019,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.476190476190476,0.225379192480239
2019,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.511904761904762,0.337794185509921
2019,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.44047619047619,0.205278592375367
2019,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.464285714285714,0.218235770164554
2019,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.386904761904762,0.154673283705542
2019,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.529761904761905,0.377670572019297
2019,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.488095238095238,0.352760359031108
2019,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.488095238095238,0.308706337975721
2019,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.529761904761905,0.333257012020607
2019,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.428571428571429,0.243056046363701
2019,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.357142857142857,0.264591439688716
2019,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.464285714285714,0.386413440467495
2019,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.482142857142857,0.325581395348837
2019,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.553571428571429,0.377033492822966
2019,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.43452380952381,0.296294591484465
2019,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.494047619047619,0.30033159639981
2019,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.464285714285714,0.130314743235781
2019,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.529761904761905,0.429960108212206
2019,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.375,0.197989949748744
2019,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.517857142857143,0.391
2019,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.458333333333333,0.280789650788903
2019,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.577380952380952,0.30113329735564
2019,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.547619047619048,0.35202492211838
2019,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.589285714285714,0.437330928764653
2019,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.601190476190476,0.447591382231905
2019,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.738095238095238,0.629054890631449
2019,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.791666666666667,0.651230775748845
2019,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.678571428571429,0.50635644039338
2019,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.595238095238095,0.450367060325567
2019,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.642857142857143,0.619209519762006
2019,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.761904761904762,0.73396674584323
2019,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.708333333333333,0.745108695652174
2019,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.744047619047619,0.717639975918122
2019,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.791666666666667,0.736914746788406
2019,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.714285714285714,0.616438356164384
2019,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.642857142857143,0.682412247946228
2019,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.666666666666667,0.679405848677085
2019,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.767857142857143,0.783395692183234
2019,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.755952380952381,0.773677961457667
2019,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.744047619047619,0.671223273746933
2019,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.595238095238095,0.524427480916031
2019,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.625,0.633929961089494
2019,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.55952380952381,0.593360995850622
2019,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.726190476190476,0.73987798114254
2019,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.529761904761905,0.536324086635169
2019,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.678571428571429,0.620195930670686
2019,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.517857142857143,0.349703640982219
2019,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.571428571428571,0.603660280240206
2019,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.577380952380952,0.483344219464402
2019,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.660714285714286,0.705882352941176
2019,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.648809523809524,0.662174866812911
2019,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.458333333333333,0.23197893427934
2019,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.601190476190476,0.426356589147287
2019,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.672619047619048,0.656603773584906
2019,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.613095238095238,0.598348185177135
2019,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.791666666666667,0.772168511308456
2019,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.857142857142857,0.797256097560976
2019,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.726190476190476,0.636941896024465
2019,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.601190476190476,0.529203539823009
2020,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.554702495201535,0.386386052093143
2020,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.550863723608445,0.372068497966153
2020,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.566218809980806,0.37386981144258
2020,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.535508637236084,0.354689787186128
2020,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.506717850287908,0.297707734335229
2020,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.424184261036468,0.226144287429807
2020,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.508637236084453,0.35299879313662
2020,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.439539347408829,0.31614475904744
2020,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.506717850287908,0.330312382068921
2020,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.568138195777351,0.382585126618819
2020,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.418426103646833,0.226858705243494
2020,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.341650671785029,0.19624402138235
2020,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.527831094049904,0.314492243549828
2020,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.506717850287908,0.354936111695646
2020,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.54126679462572,0.358333679699515
2020,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.466410748560461,0.317428568571171
2020,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.435700575815739,0.264670591485101
2020,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.510556621880998,0.136593413877848
2020,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.493282149712092,0.347730416990194
2020,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.44721689059501,0.281194238516584
2020,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.54126679462572,0.391557672213356
2020,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.481765834932821,0.305850189469313
2020,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.554702495201535,0.163350764802652
2020,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.479846449136276,0.197596413300677
2020,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.616122840690979,0.431487245536832
2020,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.5489443378119,0.349196025137944
2020,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.712092130518234,0.561521978317141
2020,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.796545105566219,0.663738915703221
2020,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.618042226487524,0.417600895797155
2020,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.514395393474088,0.355855321065237
2020,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.677543186180422,0.707957668956109
2020,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.794625719769674,0.814550648367592
2020,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.72936660268714,0.742817212619054
2020,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.783109404990403,0.793997910357426
2020,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.769673704414587,0.762905690707178
2020,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.719769673704415,0.676975000134785
2020,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.644913627639155,0.688580416699411
2020,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.637236084452975,0.667833746858713
2020,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.744721689059501,0.767198008913585
2020,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.758157389635317,0.768589029720561
2020,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.702495201535509,0.635275586994936
2020,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.456813819577735,0.358124464423279
2020,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.621880998080614,0.612716052023616
2020,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.63531669865643,0.67801344803718
2020,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.692898272552783,0.706514587520617
2020,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.556621880998081,0.56872322401065
2020,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.598848368522073,0.618599300594061
2020,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.533589251439539,0.285246827892192
2020,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.596928982725528,0.60407956483249
2020,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.593090211132438,0.530682252633012
2020,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.715930902111324,0.736866334730801
2020,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.72552783109405,0.743160273329607
2020,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.479846449136276,0.208961477256129
2020,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.54510556621881,0.32648565461141
2020,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.698656429942418,0.70378242950262
2020,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.667946257197697,0.663467972787092
