Sheet,Lifeline,Indicator_No,Indicator,Geographic_Cue,Reasoning_Evidence,Model,agreement_rate,kappa_w,Lifeline_In_Main8
Communications,Communications,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.75,0.833333333333333,True
Communications,Communications,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.25,0.0769230769230769,True
Communications,Communications,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,1.0,1.0,True
Communications,Communications,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,1.0,1.0,True
Communications,Communications,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.75,0.75,True
Communications,Communications,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.25,0.0,True
Energy,Energy,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.45,0.254281378712335,True
Energy,Energy,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.5,0.273081291578776,True
Energy,Energy,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.4875,0.306583560576548,True
Energy,Energy,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.4625,0.280205655526992,True
Energy,Energy,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.45,0.253731343283582,True
Energy,Energy,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.375,0.203488372093023,True
Energy,Energy,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.5,0.26905132192846,True
Energy,Energy,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.525,0.289617486338798,True
Energy,Energy,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.5125,0.286926994906621,True
Energy,Energy,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.5875,0.351234456658857,True
Energy,Energy,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.35,0.156268568033274,True
Energy,Energy,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.3625,0.200609059763989,True
Energy,Energy,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.475,0.180977542932629,True
Energy,Energy,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.4625,0.296385542168675,True
Energy,Energy,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.5,0.257842387146136,True
Energy,Energy,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.4,0.230769230769231,True
Energy,Energy,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.4125,0.204460966542751,True
Energy,Energy,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.5625,-0.00597609561752988,True
Energy,Energy,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.5125,0.233022636484687,True
Energy,Energy,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.4125,0.254611142802814,True
Energy,Energy,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.5,0.306138009912314,True
Energy,Energy,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.4875,0.345357381429526,True
Energy,Energy,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.55,0.0147368421052632,True
Energy,Energy,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.425,0.143868683617638,True
Energy,Energy,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.6125,0.488,True
Energy,Energy,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.525,0.222614840989399,True
Energy,Energy,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.6625,0.524137931034483,True
Energy,Energy,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.775,0.619492656875835,True
Energy,Energy,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.5875,0.346886505522651,True
Energy,Energy,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.45,0.282758620689655,True
Energy,Energy,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.6,0.689352135704067,True
Energy,Energy,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.7625,0.810246679316888,True
Energy,Energy,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.625,0.678222562727447,True
Energy,Energy,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.8125,0.841389728096677,True
Energy,Energy,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.7,0.649805447470817,True
Energy,Energy,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.7,0.638888888888889,True
Energy,Energy,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.6875,0.74025974025974,True
Energy,Energy,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.7125,0.774844720496894,True
Energy,Energy,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.7,0.79529946929492,True
Energy,Energy,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.8,0.796991118361428,True
Energy,Energy,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.6375,0.636040834442965,True
Energy,Energy,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.5875,0.598034836980795,True
Energy,Energy,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.6375,0.617058311575283,True
Energy,Energy,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.6125,0.657724329324699,True
Energy,Energy,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.6875,0.698511400037686,True
Energy,Energy,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.55,0.524647887323944,True
Energy,Energy,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.65,0.581993569131833,True
Energy,Energy,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.6125,0.308176100628931,True
Energy,Energy,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.5875,0.445727482678984,True
Energy,Energy,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.5375,0.595515497911629,True
Energy,Energy,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.65,0.659574468085106,True
Energy,Energy,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.6875,0.697885196374622,True
Energy,Energy,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.625,0.336902089449145,True
Energy,Energy,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.65,0.539042320683489,True
Energy,Energy,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.6875,0.655172413793103,True
Energy,Energy,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.6375,0.521235521235521,True
Energy,Energy,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.8125,0.808510638297872,True
Energy,Energy,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.8625,0.808896210873147,True
Energy,Energy,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.7375,0.649965682910089,True
Energy,Energy,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.5375,0.444444444444444,True
Food_Water_Shelter,"Food, Hydration, Shelter",1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.587392550143267,0.445226715911297,True
Food_Water_Shelter,"Food, Hydration, Shelter",2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.547277936962751,0.376733757201592,True
Food_Water_Shelter,"Food, Hydration, Shelter",3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.578796561604584,0.379018059375978,True
Food_Water_Shelter,"Food, Hydration, Shelter",4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.555873925501433,0.367640900402602,True
Food_Water_Shelter,"Food, Hydration, Shelter",5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.504297994269341,0.317137033360702,True
Food_Water_Shelter,"Food, Hydration, Shelter",6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.389684813753582,0.228489075076029,True
Food_Water_Shelter,"Food, Hydration, Shelter",7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.484240687679083,0.343549096489833,True
Food_Water_Shelter,"Food, Hydration, Shelter",8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.464183381088825,0.34332402504497,True
Food_Water_Shelter,"Food, Hydration, Shelter",9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.498567335243553,0.298197719871069,True
Food_Water_Shelter,"Food, Hydration, Shelter",10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.564469914040115,0.379170093324275,True
Food_Water_Shelter,"Food, Hydration, Shelter",11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.372492836676218,0.1803823268152,True
Food_Water_Shelter,"Food, Hydration, Shelter",12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.344827586206897,0.201634192331867,True
Food_Water_Shelter,"Food, Hydration, Shelter",13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.561604584527221,0.464019306713471,True
Food_Water_Shelter,"Food, Hydration, Shelter",14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.512893982808023,0.38259570339858,True
Food_Water_Shelter,"Food, Hydration, Shelter",15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.598853868194842,0.463432914700823,True
Food_Water_Shelter,"Food, Hydration, Shelter",16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.446991404011461,0.301388715125735,True
Food_Water_Shelter,"Food, Hydration, Shelter",17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.492836676217765,0.332010956380749,True
Food_Water_Shelter,"Food, Hydration, Shelter",18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.504297994269341,0.136259983356569,True
Food_Water_Shelter,"Food, Hydration, Shelter",19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.510028653295129,0.423807165263332,True
Food_Water_Shelter,"Food, Hydration, Shelter",20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.432664756446991,0.241503844936114,True
Food_Water_Shelter,"Food, Hydration, Shelter",21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.570200573065903,0.453340859380512,True
Food_Water_Shelter,"Food, Hydration, Shelter",22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.501432664756447,0.335714378202002,True
Food_Water_Shelter,"Food, Hydration, Shelter",23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.613180515759312,0.150152193375112,True
Food_Water_Shelter,"Food, Hydration, Shelter",24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.504297994269341,0.180152792309059,True
Food_Water_Shelter,"Food, Hydration, Shelter",25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.616045845272206,0.42554404170536,True
Food_Water_Shelter,"Food, Hydration, Shelter",26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.561604584527221,0.359657128877765,True
Food_Water_Shelter,"Food, Hydration, Shelter",27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.687679083094556,0.513189490783247,True
Food_Water_Shelter,"Food, Hydration, Shelter",28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.759312320916905,0.585302246095923,True
Food_Water_Shelter,"Food, Hydration, Shelter",29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.59025787965616,0.343042483334992,True
Food_Water_Shelter,"Food, Hydration, Shelter",30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.492836676217765,0.317969348321728,True
Food_Water_Shelter,"Food, Hydration, Shelter",1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.67621776504298,0.684289535321529,True
Food_Water_Shelter,"Food, Hydration, Shelter",2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.776504297994269,0.81352963875449,True
Food_Water_Shelter,"Food, Hydration, Shelter",3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.742120343839542,0.763916683108318,True
Food_Water_Shelter,"Food, Hydration, Shelter",4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.802292263610315,0.83539069162494,True
Food_Water_Shelter,"Food, Hydration, Shelter",5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.750716332378224,0.770203239541723,True
Food_Water_Shelter,"Food, Hydration, Shelter",6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.702005730659026,0.693835234069702,True
Food_Water_Shelter,"Food, Hydration, Shelter",7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.693409742120344,0.761274153036264,True
Food_Water_Shelter,"Food, Hydration, Shelter",8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.653295128939828,0.692202110821024,True
Food_Water_Shelter,"Food, Hydration, Shelter",9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.779369627507163,0.807438060374556,True
Food_Water_Shelter,"Food, Hydration, Shelter",10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.787965616045845,0.785283219131439,True
Food_Water_Shelter,"Food, Hydration, Shelter",11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.693409742120344,0.632263722455284,True
Food_Water_Shelter,"Food, Hydration, Shelter",12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.451149425287356,0.337585501023516,True
Food_Water_Shelter,"Food, Hydration, Shelter",13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.624641833810888,0.631039898313992,True
Food_Water_Shelter,"Food, Hydration, Shelter",14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.69054441260745,0.71122976953543,True
Food_Water_Shelter,"Food, Hydration, Shelter",15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.722063037249284,0.739377565532561,True
Food_Water_Shelter,"Food, Hydration, Shelter",16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.555873925501433,0.55032827660385,True
Food_Water_Shelter,"Food, Hydration, Shelter",17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.653295128939828,0.685346513143602,True
Food_Water_Shelter,"Food, Hydration, Shelter",18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.567335243553009,0.35674522608834,True
Food_Water_Shelter,"Food, Hydration, Shelter",19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.575931232091691,0.607176807469572,True
Food_Water_Shelter,"Food, Hydration, Shelter",20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.555873925501433,0.432865309748998,True
Food_Water_Shelter,"Food, Hydration, Shelter",21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.722063037249284,0.759095063096696,True
Food_Water_Shelter,"Food, Hydration, Shelter",22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.730659025787966,0.760881831371917,True
Food_Water_Shelter,"Food, Hydration, Shelter",23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.492836676217765,0.161585796688121,True
Food_Water_Shelter,"Food, Hydration, Shelter",24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.524355300859599,0.309049924785903,True
Food_Water_Shelter,"Food, Hydration, Shelter",25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.722063037249284,0.749301044428252,True
Food_Water_Shelter,"Food, Hydration, Shelter",26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.681948424068768,0.673736912082433,True
Food_Water_Shelter,"Food, Hydration, Shelter",27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.816618911174785,0.819135944337042,True
Food_Water_Shelter,"Food, Hydration, Shelter",28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.893982808022923,0.871057058284035,True
Food_Water_Shelter,"Food, Hydration, Shelter",29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.710601719197708,0.575941676792224,True
Food_Water_Shelter,"Food, Hydration, Shelter",30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.59025787965616,0.485647637545507,True
Hazmat,Hazardous Materials,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.5,0.0,True
Hazmat,Hazardous Materials,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,7,Road type and width,Road and transport,Appearance,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.5,0.0,True
Hazmat,Hazardous Materials,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.5,0.0,True
Hazmat,Hazardous Materials,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.5,0.0,True
Hazmat,Hazardous Materials,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,1.0,1.0,True
Hazmat,Hazardous Materials,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.5,0.666666666666667,True
Hazmat,Hazardous Materials,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.0,0.0,True
Hazmat,Hazardous Materials,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.5,0.0,True
